Student,Height_cm,Birthdate,College
Jane,167.3,2003-03-11,CCS
Mary Ann,143.8,2003-03-07,CCS
Robert,186.4,2002-08-05,CCS
Rex,169.4,2004-04-20,CCS
Jan Michael,181.3,2005-02-08,CCS
Jerome,173.8,2004-08-03,CCS
Michelle,181,2003-06-30,CCS
Julie Anne,161.2,2003-11-28,CCS
Liz,169.7,2002-09-11,CCS
Leonard,171.7,2004-12-13,CCS
Jackie-Lou,183.3,2005-05-25,CCS
Mary Jane,148.1,2003-03-12,CAS
Sean,179.8,2005-04-11,CAS
Patrick,186.4,2004-02-29,CAS
Peter,178.9,2003-09-10,CAS
John Gabriel,180.8,2002-10-29,CCS
Gretel,145,2002-09-24,CAS
Lulu,180.7,2004-10-03,CCS
Srikanth,185.1,2004-10-20,CAS
Jake,183.3,2005-03-29,CCS
Jenny,163.4,2003-08-04,CCS
Dianne,147.8,2005-01-03,CAS
Angela,151.1,2004-08-01,CAS
Hero,172.8,2004-01-17,CAS
George,174.5,2005-07-25,CAS
Alan James,164.5,2004-04-10,CAS
Tina,165.7,2004-06-10,CAS
Sophia,144.9,2005-05-20,CAS
Brianna,178.5,2005-05-08,CAS
Allan Mark,181.2,2005-06-30,CAS
Deepak,156.3,2003-02-18,CAS
Bernard,186.5,2004-09-12,CAS
Brad,163.5,2002-10-11,CAS
Jennifer Grace,149.3,2003-09-07,CCS
Xymie,152,2004-05-21,CCS
Phoebe,149.2,2002-11-25,CAS
Celine,145.8,2004-08-28,CAS
Xiyan,181.3,2003-12-20,CAS
Mohammed,144.2,2005-06-02,CCS
Bryan,184.8,2004-01-24,CCS
